Acrylamide Conc. %,Bis-acrylamide conc %,Photo-initiator conc. %,Layer Height. (micron),Bottom Layer exposure time (s),Exposure time (s),Frequency (Hz),Storage modulus (Pa),Loss modulus (Pa)
10,0.3,1.5,30,50,6,0.100000001,1007.452881,90.31491852
10,0.3,1.5,30,50,6,0.158489317,1030.484253,91.48081207
10,0.3,1.5,30,50,6,0.251188636,1054.120972,95.55980682
10,0.3,1.5,30,50,6,0.398107171,1078.480103,101.8144455
10,0.3,1.5,30,50,6,0.630957365,1103.442627,109.0285873
10,0.3,1.5,30,50,6,1,1126.662476,119.3325653
10,0.3,1.5,30,50,6,1.584893227,1143.557251,134.8121948
10,0.3,1.5,30,50,6,2.511886358,1121.266846,163.3370209
10,0.3,1.5,30,50,6,3.981071472,1076.533813,178.4498138
10,0.3,1.5,30,50,6,6.309572697,1156.744629,200.773407
10,0.3,1.5,30,50,6,10,1085.893555,253.2296448
10,0.3,1.5,30,50,6,0.01,1107.830811,157.1526489
10,0.3,1.5,30,50,6,0.015848933,1256.523071,132.4112091
10,0.3,1.5,30,50,6,0.025118863,1315.424805,122.1022186
10,0.3,1.5,30,50,6,0.039810721,1356.774902,113.4623947
10,0.3,1.5,30,50,6,0.063095748,1391.340698,107.9588394
10,0.3,1.5,30,50,6,0.100000001,1420.476563,105.7528305
10,0.3,1.5,30,50,6,0.158489317,1447.373047,103.3249207
10,0.3,1.5,30,50,6,0.251188636,1472.446045,105.3073273
10,0.3,1.5,30,50,6,0.398107171,1497.797119,107.8914108
10,0.3,1.5,30,50,6,0.630957365,1518.265747,112.8055038
10,0.3,1.5,30,50,6,1,1545.093994,119.8221359
10,0.3,1.5,30,50,6,1.584893227,1562.09436,132.4866028
10,0.3,1.5,30,50,6,2.511886358,1549.354492,154.5949097
10,0.3,1.5,30,50,6,3.981071472,1423.408936,203.0820007
10,0.3,1.5,30,50,6,6.309572697,1612.054443,185.5023041
10,0.3,1.5,30,50,6,10,1542.204102,280.1023865
10,0.3,1.5,30,50,6,0.01,1673.101807,303.9434814
10,0.3,1.5,30,50,6,0.015848933,1901.116455,248.0349121
10,0.3,1.5,30,50,6,0.025118863,2029.706055,253.5332031
10,0.3,1.5,30,50,6,0.039810721,2138.056885,217.9047241
10,0.3,1.5,30,50,6,0.063095748,2214.673828,201.3081207
10,0.3,1.5,30,50,6,0.100000001,2276.740967,187.7868652
10,0.3,1.5,30,50,6,0.158489317,2328.422119,184.0621033
10,0.3,1.5,30,50,6,0.251188636,2376.450439,181.4630127
10,0.3,1.5,30,50,6,0.398107171,2424.387451,180.1629791
10,0.3,1.5,30,50,6,0.630957365,2469.609131,182.1654968
10,0.3,1.5,30,50,6,1,2514.459717,188.2997284
10,0.3,1.5,30,50,6,1.584893227,2555.021729,201.4998779
10,0.3,1.5,30,50,6,2.511886358,2578.710938,224.0017548
10,0.3,1.5,30,50,6,3.981071472,2494.979736,286.0319519
10,0.3,1.5,30,50,6,6.309572697,2562.553711,260.4605713
